Firm,Link,Description,Phone,Address,Website,Practice Area
"Associated Legal Group, LLC",https://www.us-barassociation.org/firms/detail/96009cf58143b7cd,"Associated Legal Group is located in the capitol city of Cheyenne, Wyoming, just 100 miles north of Denver, Colorado. The firm has a diverse practice that includes most kinds of civil matters. The firm handles everything from complex litigation to the more simple legal needs of its clients. The attorneys at Associated Legal are experienced at handling labor and employment matters, contract and real estate disputes, insurance issues, water, natural resources and environmental matters, governmental issues, regulation of telecommunications and natural gas, construction disputes, condemnation matters, easement disputes, split estates, estate planning, and automobile and industrial accidents. The firm also handles appeals in the state and federal courts, and hearings before state and federal administrative agencies including the Public Service Commission, EEOC, Department of Labor, Worker's Compensation Division, Environmental Quality Council, and others.

The attorneys at Associated Legal Group place the highest priority on responding to their client's needs. They stay in close contact with their clients on pending matters, and regularly counsel with their clients regarding how matters are proceeding. Carrying out the firm's tradition of integrity and commitment to client needs, the firm strives to achieve outstanding and professional results through practical and thorough preparation, and strong, effective advocacy. The focus is always on client objectives and the most practical way to achieve those objectives. While the firm believes that most legal matters can and should be resolved short of litigation, each of the lawyers in the group has considerable courtroom experience and is ready to proceed with litigation when necessary.

Most of the attorneys at Associated Legal are licensed to practice in both Wyoming and Colorado, and are admitted to all state and federal courts in both states, as well as the United States Court of Appeals for the 10th Circuit. In addition, Mr. Asay is admitted to practice in the United States Court of Military Appeals and the Court of Appeals for the Federal Circuit.

Members of the firm often lecture for special interest groups such as the National Business Institute, Wyoming Claims Association, Wyoming State Bar Association, Wyoming Lodging and Restaurant Association, Council on Education in Management, Wyoming Hospital Association, University of Wyoming, and others. For more information on individual attorneys, including individual qualifications and biographies, please refer to the individual attorney pages.",Phone(s): (307) 632-2888,"1807 Capitol Ave., Suite 203
Cheyenne, Wyoming
82001",N/A,"Bankruptcy, Business Law, Criminal Defense, Divorce, Employment, Estate Planning, Government, Industry, Litigation, Motor Vehicle Accidents, Personal Injury, Real Estate"
Bailey Stock Harmon Cottam Lopez LLP,https://www.us-barassociation.org/firms/detail/b794d2640c56b225,"When you need legal services from a highly trusted and experienced attorney in Cheyenne or the greater Wyoming area, call on Bailey Stock Harmon Cottam Lopez LLP. A firm with a strong reputation for trustworthy and honest legal counsel, Bailey Stock Harmon Cottam Lopez’s team of lawyers have over",Phone(s): (307) 222-4932,"221 East 21st Street, Box 850
Cheyenne, Wyoming
82001",N/A,Personal Injury
"Berger & Brown, Attorneys",https://www.us-barassociation.org/firms/detail/526a40a22c29ca0f,"If you need a bankruptcy, personal injury, or family lawyer in Gillette, trust the experienced team at Berger & Brown, Attorneys. They offer top-rate representation & a compassionate approach.",Phone(s): (307) 222-5772,"603 South Gillette Ave
Gillette, Wyoming
82716",N/A,"Bankruptcy, Criminal Defense, Family Law, Personal Injury"
Bowers Law Firm,https://www.us-barassociation.org/firms/detail/1ca8e57ef0c04b1b,"The Bowers Law Firm is a dedicated firm committed to serving clients in Wyoming, Utah, Nevada and Idaho. Our attorneys capably handle personal injury and felony criminal defense matters. We believe in justice and the power of the legal system to make a positive difference.",Phone(s): (888) 892-9081,"685 South Washington
Afton, Wyoming
83110",N/A,"Business Law, Criminal Defense, Government, Litigation, Motor Vehicle Accidents, Personal Injury, Real Estate"
"Buchhammer & Ward, P.C.",https://www.us-barassociation.org/firms/detail/f7942d6bfc71f723,"Buchhammer & Ward, P.C., is the successor to the law firm of Guy, Williams, White & Argeris which was established in 1949. The firm is AV rated by the Martindale-Hubbell Law Directory®. From its founding, the firm has engaged in civil and trial practice in all state and federal courts with its",Phone(s): (307) 634-2184,"1821 Logan Avenue
Cheyenne, Wyoming
82003",N/A,"Business Law, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury, Real Estate"
"Burg Simpson Eldredge Hersh & Jardine, P.C.",https://www.us-barassociation.org/firms/detail/90a8c561876f562b,"Burg Simpson Eldredge Hersh and Jardine, P.C. is a full-service law firm with office locations in Colorado, Wyoming, Ohio, and Arizona. We are ready to help you with all of your litigation needs. Whether you have suffered a personal injury, or need assistance handling a business transaction, our",Phone(s): (307) 527-7891,"1135 14th Street
Cody, Wyoming
82414",N/A,"Bankruptcy, Business Law, Employment, Estate Planning, Industry, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury, Real Estate"
"Bussart, West & Tyler P.C.",https://www.us-barassociation.org/firms/detail/0198affc86feecb0,"Bussart, West and Tyler, P.C. is an experienced law firm located in Rock Springs, Wyoming. Our attorneys provide legal representation in the areas of Estate Planning, Probate and Estate Administration.",Phone(s): (307) 362-3300,"409 Broadway Street, Suite A
Rock Springs, Wyoming
82901",N/A,"Business Law, Commercial Law, Estate Planning, Government, Litigation, Real Estate"
"Chapin & Dixon, LLP",https://www.us-barassociation.org/firms/detail/652a95112016208c,"Members of the law firm of Chapin and Dixon, starting with its senior partner, Donald E. Chapin, have been in continuous practice since 1949, providing clients with practiced efficient solutions to legal problems. During all that time the attorneys have been hands-on counselors with many",Phone(s): (307) 234-7321,"104 South Wolcott Avenue, Suite 600, First Interstate Bank Building
Casper, Wyoming
82601",N/A,"Business Law, Divorce, Employment, Estate Planning, Family Law, Government, Litigation, Personal Injury"
"Christopher G. Humphrey, P.C.",https://www.us-barassociation.org/firms/detail/f9289479830fbcb2,"Attorney Christpher Humphrey has been practicing law and serving clients in Cheyenne, Wyoming for many years. Mr. Humphrey is licensed to practice law in the State of Wyoming and Colorado, Wyoming Federal District Court, the Executive Office of Immigration Review, and the Wyoming Bankruptcy Court.",Phone(s): (307) 222-2448,"217 West 18 street
Cheyenne, Wyoming
82001",N/A,Criminal Defense
Cotton Law Offices,https://www.us-barassociation.org/firms/detail/37959e555f06d40b,"Cotton Law Offices, located in Gillette, Wyoming, provides statewide services for parties with claims originating in Wyoming. With over twenty (20) years experience in personal injury related matters, C. John Cotton, Esq. provides representation and legal services in practice areas which include: Catastrophic/serious injury; Wrongful death; Personal injury; and, Workers compensation.",Phone(s): (307) 200-7303,"222 South Gillette Avenue, Suite 601
Gillette, Wyoming
82716",N/A,"Employment, Motor Vehicle Accidents, Personal Injury"
