Firm,Link,Description,Phone,Address,Website
Amy A. Slayden Family Law PC,https://www.us-barassociation.org/firms/detail/16696f6ffe162d8f,"Amy A. Slayden Family Law P.C. is a family law and probate firm located in Huntsville that serves clients throughout Northern Alabama. Practice areas consist of divorce and legal separation, alimony, child custody and visitation, child custody, adoption, property division, marital agreements, and mediation as well as probate matters and estate planning.

With more than 30 combined years of experience, the attorneys provide professional representation and personalized legal counsel. They skillfully and knowledgeably develop innovative strategies and creative solutions tailored to clients’ goals and values. Offering comprehensive advice, the legal team outlines relevant laws and explains options so clients can make informed decisions.

Amy A. Slayden Family Law is dedicated to advocating for clients’ rights and working to achieve the best resolutions through settlement negotiations or in the courtroom.",Phone(s): (256) 288-1100,"2319 Market Place, Suite D
Huntsville, Alabama
35801",https://www.amyslaydenlaw.com/
Bailey & Glasser LLP,https://www.us-barassociation.org/firms/detail/1f1f02cbc187e41b,N/A,N/A,N/A,N/A
Balch & Bingham LLP,https://www.us-barassociation.org/firms/detail/d98ec432d7628781,N/A,N/A,N/A,N/A
"Ball, Ball, Matthews & Novak, P.A.",https://www.us-barassociation.org/firms/detail/197ccf89ca1707cb,N/A,N/A,N/A,N/A
"Belt & Bruner, P.C.",https://www.us-barassociation.org/firms/detail/92d49f16967cfc79,"Belt & Bruner, P.C. is a personal injury law firm based in Birmingham, Alabama and serves clients throughout the state.",Phone(s): (844) 239-3403,"880 Montclair Road, Suite 300
Birmingham, Alabama
35213",https://www.alabamainjurylawyer.com/
"Black Belt Law Group, LLC",https://www.us-barassociation.org/firms/detail/11ffe9fc160eb738,N/A,N/A,N/A,N/A
Blackwell Law Firm,https://www.us-barassociation.org/firms/detail/ba44797d8aea02dc,"Blackwell Law Firm is a personal injury firm located in Huntsville, Alabama and serves clients throughout that state, including Madison, Colbert, Etowah, Jackson, Jefferson, Lauderdale, Lawrence, Limestone, Marshall, and Morgan Counties. Practice areas include car and truck accidents, product liability including dangerous drugs and defective medical devices, premises liability, industrial and construction accidents, workers’ compensation, traumatic injuries, and wrongful death. The firm also provides representation in trust litigation and sales commission claims.

Jeff Blackwell has more than 20 years of experience in personal injury that, along with his preparation and dedication, shows in each case as he pursues justice for every client. Attorney Blackwell has represented clients before the Alabama Supreme Court, the Alabama Court of Civil Appeals, and Alabama and Federal Courts.

The Blackwell Law Firm team realizes that an accident or injury can impact not only a client's health, but other areas of their life as well, such as work, finances, and family. The firm is prepared to litigate a case in court or work to negotiate an effective settlement, zealously advocating for clients' best interests and the most favorable outcomes.",Phone(s): (256) 261-1315,"120 Holmes Avenue Northeast, Suite 401
Huntsville, Alabama
35801",https://www.blackwell-attorneys.com/
Bradford Ladner LLP,https://www.us-barassociation.org/firms/detail/8eb2c809a5ae5eee,"Bradford Ladner LLP is a full service law firm in Birmingham, Alabama providing civil and criminal trial and appellate representation throughout Alabama in state and federal court. Based in Birmingham Alabama, we handle civil litigation such as business tort claims, business litigation, contract claims and lawsuits, defense of civil lawsuits, and insurance coverage and disputes. We also handle the full array of criminal cases including DUI, Felonies, Misdemeanors, drug crimes, gun crimes, drug trafficking, immigration violations, domestic violence, criminal trials and criminal appeals. We handle all manner of divorce and family law matters, including divorces, child custody matters, child support, and modifications. We service our clients statewide and handle matters in both State District and Circuit Courts and the Federal District courts of Alabama.",Phone(s): (205) 802-8823 or (855) 587-6350,"3928 Montclair Road, Suite 208
Birmingham, Alabama
35213",N/A
Bradley Arant Boult Cummings LLP,https://www.us-barassociation.org/firms/detail/c1e87fb7c0de863b,N/A,N/A,N/A,N/A
Bradley Arant Boult Cummings LLP,https://www.us-barassociation.org/firms/detail/09fbbb4c01e6af3b,N/A,N/A,N/A,N/A
